lo,hi,sat,excl
0.66,2.3,0.9863046231792274,0.20814901047729917
0.66,2.35,0.9878879037365421,0.20779976717112925
0.66,2.4,0.9893920202659912,0.2072176949941793
0.66,2.45,0.9901044965167828,0.20651920838183935
0.66,2.5,0.9909753008233059,0.20651920838183935
0.66,2.55,0.9913711209626346,0.20616996507566943
0.66,2.6,0.9916877770740975,0.20570430733410938
0.66,2.65,0.9919252691576947,0.20558789289871948
0.66,2.7,0.992162761241292,0.20500582072176954
0.66,2.75,0.9924794173527549,0.20477299185098952
0.66,2.8,0.9931127295756809,0.20430733410942958
0.66,2.85,0.9935877137428752,0.20395809080325955
0.66,2.9,0.9940626979100696,0.2033760186263096
0.66,2.95,0.9942210259658011,0.2031431897555297
0.66,3.0,0.9943001899936669,0.20302677532013969
0.66,3.05,0.9944585180493983,0.20279394644935977
0.66,3.1,0.9945376820772641,0.20221187427240983
0.66,3.15,0.9945376820772641,0.2019790454016298
0.66,3.2,0.9946168461051298,0.2019790454016298
0.66,3.25,0.9946960101329956,0.2018626309662398
0.66,3.3,0.9946960101329956,0.2018626309662398
0.66,3.35,0.994854338188727,0.20151338766006988
0.66,3.4,0.994854338188727,0.20151338766006988
0.66,3.45,0.994854338188727,0.20151338766006988
0.66,3.5,0.9950126662444585,0.20151338766006988
0.66,3.55,0.9950918302723243,0.20151338766006988
0.67,1.0,0.8837872070930969,0.44051222351571595
0.67,1.05,0.9401519949335022,0.4264260768335274
0.67,1.1,0.9471184293856871,0.41536670547147847
0.67,1.15,0.9490183660544649,0.39394644935972056
0.67,1.2,0.9503641545281823,0.35739231664726423
0.67,1.25,0.9509183027232425,0.31466821885913854
0.67,1.3,0.9511557948068398,0.2754365541327125
0.67,1.35,0.9512349588347055,0.2504074505238649
0.67,1.4,0.9512349588347055,0.239464493597206
0.67,1.45,0.951393286890437,0.2366705471478463
0.67,1.5,0.951393286890437,0.2351571594877765
0.67,1.55,0.9515516149461685,0.2341094295692666
0.67,1.6,0.9521057631412286,0.23282887077997672
0.67,1.65,0.9529765674477517,0.23038416763678693
0.67,1.7,0.9545598480050665,0.22922002328288704
0.67,1.75,0.9557473084230526,0.22782305005820724
0.67,1.8,0.9570930968967701,0.22665890570430736
0.67,1.85,0.9591513616212793,0.22537834691501746
0.67,1.9,0.9620012666244458,0.22433061699650758
0.67,1.95,0.9664344521849272,0.22281722933643777
0.67,2.0,0.9694426852438252,0.22176949941792778
0.67,2.05,0.9728467384420519,0.2206053550640279
0.67,2.1,0.9756174794173528,0.21967403958090803
0.67,2.15,0.978863204559848,0.21862630966239815
0.67,2.2,0.9818714376187461,0.21757857974388828
0.67,2.25,0.9837713742875237,0.21688009313154832
0.67,2.3,0.9859879670677644,0.2165308498253784
0.67,2.35,0.9875712476250792,0.21618160651920837
0.67,2.4,0.9890753641545282,0.21559953434225843
0.67,2.45,0.9897878404053199,0.21490104772991847
0.67,2.5,0.990658644711843,0.21490104772991847
0.67,2.55,0.9910544648511717,0.21455180442374855
0.67,2.6,0.9913711209626346,0.21408614668218862
0.67,2.65,0.9916086130462318,0.2139697322467986
0.67,2.7,0.991846105129829,0.21338766006984866
0.67,2.75,0.992162761241292,0.21315483119906864
0.67,2.8,0.9927960734642178,0.2126891734575087
0.67,2.85,0.9932710576314123,0.21233993015133878
0.67,2.9,0.9937460417986067,0.21175785797438884
0.67,2.95,0.9939043698543382,0.21152502910360882
0.67,3.0,0.993983533882204,0.2114086146682188
0.67,3.05,0.9941418619379354,0.2111757857974389
0.67,3.1,0.9942210259658011,0.21059371362048895
0.67,3.15,0.9942210259658011,0.21036088474970893
0.67,3.2,0.9943001899936669,0.21036088474970893
0.67,3.25,0.9943793540215327,0.21024447031431892
0.67,3.3,0.9943793540215327,0.21024447031431892
0.67,3.35,0.9945376820772641,0.209895227008149
0.67,3.4,0.9945376820772641,0.209895227008149
0.67,3.45,0.9945376820772641,0.209895227008149
0.67,3.5,0.9946960101329956,0.209895227008149
0.67,3.55,0.9947751741608613,0.209895227008149
0.68,1.0,0.8833122229259025,0.4506402793946449
